[Tue Nov 17 09:56:57.187 2009] 0.042 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 09:57:54.190 2009] 0.000 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 10:00:40.901 2009] 0.000 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 10:01:02.687 2009] 0.000 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 10:23:56.445 2009] 0.000 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 10:24:22.898 2009] 0.000 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 10:24:35.980 2009] 0.000 sec [all/2/rel 23 (20,20)] [opportunity_core] transportation
[Tue Nov 17 10:24:39.880 2009] 0.001 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 10:24:48.320 2009] 0.001 sec [scan/2/rel 3361 (20,20)] [opportunity_core] 
[Tue Nov 17 10:25:28.532 2009] 0.001 sec [scan/2/rel 3361 (20,20)] [opportunity_core] 
[Tue Nov 17 10:26:14.901 2009] 0.001 sec [scan/2/rel 3361 (20,20)] [opportunity_core] 
[Tue Nov 17 10:26:33.889 2009] 0.001 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 10:31:56.686 2009] 0.001 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 10:32:02.498 2009] 0.001 sec [scan/2/rel 3361 (20,20)] [opportunity_core] 
[Tue Nov 17 10:32:07.197 2009] 0.001 sec [scan/2/rel 3361 (40,20)] [opportunity_core] 
[Tue Nov 17 10:32:08.689 2009] 0.001 sec [scan/2/rel 3361 (60,20)] [opportunity_core] 
[Tue Nov 17 10:32:18.451 2009] 0.001 sec [scan/2/rel 3361 (980,20)] [opportunity_core] 
[Tue Nov 17 10:51:08.418 2009] 0.001 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 10:51:10.754 2009] 0.001 sec [scan/2/rel 3361 (20,20)] [opportunity_core] 
[Tue Nov 17 10:51:14.423 2009] 0.001 sec [scan/2/rel 3361 (980,20)] [opportunity_core] 
[Tue Nov 17 11:09:32.166 2009] 0.001 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 11:09:36.891 2009] 0.001 sec [scan/2/rel 3361 (980,20)] [opportunity_core] 
[Tue Nov 17 11:11:38.466 2009] 0.001 sec [scan/2/rel 3361 (980,20)] [opportunity_core] 
[Tue Nov 17 11:11:44.811 2009] 0.001 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 11:11:47.850 2009] 0.001 sec [scan/2/rel 3361 (980,20)] [opportunity_core] 
[Tue Nov 17 11:26:03.085 2009] 0.005 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 11:26:13.895 2009] 0.004 sec [scan/2/rel 3361 (3360,20)] [opportunity_core] 
[Tue Nov 17 11:27:16.608 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 11:28:18.653 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 11:28:40.617 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 11:31:16.191 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 11:31:54.805 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 11:31:58.959 2009] 0.000 sec [all/2/rel 14 (0,20)] [opportunity_core] test
[Tue Nov 17 11:32:59.675 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 11:33:15.583 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 11:33:21.195 2009] 0.000 sec [all/2/rel 14 (0,20)] [opportunity_core] test
[Tue Nov 17 11:47:37.211 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 11:51:11.631 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 11:58:46.229 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 11:59:34.402 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 11:59:37.905 2009] 0.000 sec [all/2/rel 14 (0,20)] [opportunity_core] test
[Tue Nov 17 12:00:27.111 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:00:30.920 2009] 0.000 sec [all/2/rel 14 (0,20)] [opportunity_core] test
[Tue Nov 17 12:01:19.387 2009] 0.000 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 12:01:28.225 2009] 0.004 sec [scan/2/rel 3361 (20,20)] [opportunity_core] 
[Tue Nov 17 12:04:08.475 2009] 0.006 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:05:01.387 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:05:05.858 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:05:42.740 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:08:27.892 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:08:34.123 2009] 0.000 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 12:08:35.822 2009] 0.000 sec [all/2/rel 23 (20,20)] [opportunity_core] transportation
[Tue Nov 17 12:08:37.878 2009] 0.000 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 12:08:39.478 2009] 0.000 sec [all/2/rel 23 (20,20)] [opportunity_core] transportation
[Tue Nov 17 12:08:45.377 2009] 0.000 sec [all/2/rel 14 (0,20)] [opportunity_core] test
[Tue Nov 17 12:09:15.681 2009] 0.010 sec [all/2/rel 1 (0,20)] [opportunity_core] department of the army
[Tue Nov 17 12:15:54.236 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:15:58.483 2009] 0.000 sec [all/2/rel 14 (0,20)] [opportunity_core] test
[Tue Nov 17 12:16:09.723 2009] 0.000 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 12:16:11.865 2009] 0.000 sec [all/2/rel 23 (20,20)] [opportunity_core] transportation
[Tue Nov 17 12:16:14.188 2009] 0.001 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 12:16:36.882 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:16:41.196 2009] 0.000 sec [all/2/rel 14 (0,20)] [opportunity_core] test
[Tue Nov 17 12:16:47.159 2009] 0.000 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 12:16:48.793 2009] 0.004 sec [scan/2/rel 3361 (20,20)] [opportunity_core] 
[Tue Nov 17 12:16:58.424 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:17:04.773 2009] 0.000 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 12:17:17.867 2009] 0.004 sec [scan/2/rel 3361 (20,20)] [opportunity_core] 
[Tue Nov 17 12:20:15.107 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:29:28.260 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:29:32.272 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:29:34.686 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:43:39.328 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:43:46.838 2009] 0.000 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 12:43:48.578 2009] 0.000 sec [all/2/rel 23 (20,20)] [opportunity_core] transportation
[Tue Nov 17 12:43:49.862 2009] 0.000 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 12:43:51.350 2009] 0.000 sec [all/2/rel 23 (20,20)] [opportunity_core] transportation
[Tue Nov 17 12:43:52.748 2009] 0.000 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 12:44:07.185 2009] 0.000 sec [all/2/rel 173 (0,20)] [opportunity_core] department
[Tue Nov 17 12:44:09.406 2009] 0.001 sec [all/2/rel 173 (20,20)] [opportunity_core] department
[Tue Nov 17 12:44:10.514 2009] 0.000 sec [all/2/rel 173 (40,20)] [opportunity_core] department
[Tue Nov 17 12:44:11.508 2009] 0.001 sec [all/2/rel 173 (60,20)] [opportunity_core] department
[Tue Nov 17 12:44:13.352 2009] 0.001 sec [all/2/rel 173 (160,20)] [opportunity_core] department
[Tue Nov 17 12:57:11.892 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:57:18.241 2009] 0.000 sec [all/2/rel 14 (0,20)] [opportunity_core] test
[Tue Nov 17 12:58:42.063 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 12:58:46.084 2009] 0.000 sec [all/2/rel 14 (0,20)] [opportunity_core] test
[Tue Nov 17 12:58:54.104 2009] 0.000 sec [all/2/rel 23 (0,20)] [opportunity_core] transportation
[Tue Nov 17 12:58:55.766 2009] 0.004 sec [scan/2/rel 3361 (20,20)] [opportunity_core] 
[Tue Nov 17 12:58:58.215 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 13:15:26.607 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 13:15:37.629 2009] 0.000 sec [all/2/rel 173 (0,20)] [opportunity_core] department
[Tue Nov 17 13:15:41.857 2009] 0.001 sec [all/2/rel 173 (20,20)] [opportunity_core] department
[Tue Nov 17 13:15:43.591 2009] 0.000 sec [all/2/rel 173 (40,20)] [opportunity_core] department
[Tue Nov 17 13:15:45.241 2009] 0.000 sec [all/2/rel 173 (100,20)] [opportunity_core] department
[Tue Nov 17 13:15:48.217 2009] 0.001 sec [all/2/rel 173 (160,20)] [opportunity_core] department
[Tue Nov 17 13:15:51.113 2009] 0.001 sec [all/2/rel 173 (0,20)] [opportunity_core] department
[Tue Nov 17 13:15:54.004 2009] 0.000 sec [all/2/rel 173 (20,20)] [opportunity_core] department
[Tue Nov 17 13:15:57.332 2009] 0.000 sec [all/2/rel 173 (0,20)] [opportunity_core] department
[Tue Nov 17 16:15:03.327 2009] 0.001 sec [all/2/rel 173 (0,20)] [opportunity_core] department
[Tue Nov 17 16:36:20.371 2009] 0.000 sec [all/2/rel 173 (0,20)] [opportunity_core] department
[Tue Nov 17 16:37:32.843 2009] 0.000 sec [all/2/rel 173 (0,20)] [opportunity_core] department
[Tue Nov 17 16:37:35.893 2009] 0.000 sec [all/2/rel 173 (0,20)] [opportunity_core] department
[Tue Nov 17 16:37:43.516 2009] 0.000 sec [all/2/rel 173 (0,20)] [opportunity_core] department
[Tue Nov 17 16:37:48.231 2009] 0.000 sec [all/2/rel 173 (0,20)] [opportunity_core] department
[Tue Nov 17 16:37:52.489 2009] 0.001 sec [all/2/rel 173 (0,20)] [opportunity_core] department
[Tue Nov 17 16:38:34.205 2009] 0.000 sec [all/2/rel 173 (0,20)] [opportunity_core] department
[Tue Nov 17 16:38:37.890 2009] 0.000 sec [all/2/rel 173 (0,20)] [opportunity_core] department
[Tue Nov 17 16:38:42.170 2009] 0.000 sec [all/2/rel 173 (0,20)] [opportunity_core] department
[Tue Nov 17 16:38:44.315 2009] 0.000 sec [all/2/rel 173 (60,20)] [opportunity_core] department
[Tue Nov 17 16:38:45.852 2009] 0.001 sec [all/2/rel 173 (100,20)] [opportunity_core] department
[Tue Nov 17 17:49:23.519 2009] 0.004 sec [scan/3/rel 3187 (0,20)] [opportunity_core] 
[Tue Nov 17 17:49:30.549 2009] 0.004 sec [scan/3/rel 3187 (0,20)] [opportunity_core] 
[Tue Nov 17 17:49:48.405 2009] 0.004 sec [scan/3/rel 3187 (0,20)] [opportunity_core] 
[Tue Nov 17 17:49:56.141 2009] 0.006 sec [scan/3/rel 3187 (3180,20)] [opportunity_core] 
[Tue Nov 17 17:50:25.115 2009] 0.000 sec [scan/3/rel 174 (0,20)] [opportunity_core] 
[Tue Nov 17 17:53:03.956 2009] 0.004 sec [scan/3/rel 3187 (0,20)] [opportunity_core] 
[Tue Nov 17 17:53:37.652 2009] 0.000 sec [scan/3/rel 174 (0,20)] [opportunity_core] 
[Tue Nov 17 17:54:08.430 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 17:56:48.766 2009] 0.004 sec [scan/3/rel 3187 (0,20)] [opportunity_core] 
[Tue Nov 17 17:57:11.269 2009] 0.004 sec [scan/3/rel 3187 (0,20)] [opportunity_core] 
[Tue Nov 17 17:58:46.660 2009] 0.000 sec [scan/3/rel 174 (0,20)] [opportunity_core] 
[Tue Nov 17 17:59:36.018 2009] 0.004 sec [scan/3/rel 3187 (0,20)] [opportunity_core] 
[Tue Nov 17 18:01:35.342 2009] 0.004 sec [scan/3/rel 3187 (0,20)] [opportunity_core] 
[Tue Nov 17 18:01:41.493 2009] 0.004 sec [scan/3/rel 3187 (0,20)] [opportunity_core] 
[Tue Nov 17 18:01:44.805 2009] 0.004 sec [scan/3/rel 3187 (0,20)] [opportunity_core] 
[Tue Nov 17 18:02:02.910 2009] 0.004 sec [scan/3/rel 3187 (0,20)] [opportunity_core] 
[Tue Nov 17 18:02:06.484 2009] 0.004 sec [scan/3/rel 3187 (0,20)] [opportunity_core] 
[Tue Nov 17 20:00:19.396 2009] 0.004 sec [scan/3/rel 3187 (0,20)] [opportunity_core] 
[Tue Nov 17 20:00:22.583 2009] 0.004 sec [scan/3/rel 3187 (0,20)] [opportunity_core] 
[Tue Nov 17 20:17:12.537 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 20:17:17.331 2009] 0.004 sec [scan/3/rel 3187 (0,20)] [opportunity_core] 
[Tue Nov 17 20:17:21.328 2009] 0.004 sec [scan/2/rel 3361 (0,20)] [opportunity_core] 
[Tue Nov 17 20:17:26.716 2009] 0.050 sec [ext/3/rel 14 (0,20)] [opportunity_core] test
