4421william,24.129.78.5,Organization
942T,71.135.55.31,AT&T Internet Services SBCIS-SIS80 | PPPoX Pool - bras19a.pltnca SBCIS-111705083515 
aaadvinx,75.151.40.110,"Comcast Business Communications, Inc. CBC-CM-5 | Comcast Business Communications, Inc. CBC-NAPLES-13 "
AddAds,12.149.24.226,AT&T WorldNet Services ATT | AT&T WorldNet Services ATTSVCM-12-149-24-0 | ADSHIP LLC ADSHIP-L82-24-224 
addisonpsf,72.201.71.6,Cox Communications Inc. NETBLK-COX-ATLANTA-11 | Cox Communications NETBLK-PH-RDC-72-201-0-0 
AIHLA05,64.12.117.19,"America Online, Inc."
Ajmadison,67.85.224.240,Optimum Online NETBLK-OOL-4BLK | Optimum Online (Cablevision Systems) OOL-CPE-JCSNNJ-67-85-224-0-20 
AllanMiguel,210.14.22.168,INTERNET SERVICE PROVIDER
AndrewG,125.60.172.182,Smart Broadband Incorporated
andrewmoquin,121.97.202.205,BayanTel Broadband DSL - NetValue
annabellagirl,94.169.107.59,BROADBAND AZTEC WEST
AnneHu,152.216.3.5,Internal Revenue Service
AnnuityExpert11,203.87.204.238,Smart Broadband Incorporated
Apotik,117.103.169.165,"Pika Media Komunika, PT."
Areal,63.241.202.8,CERFnet
AttyAnn,64.12.116.207,"America Online, Inc."
AutoVitals,72.194.219.67,Cox Communications Inc. NETBLK-COX-ATLANTA-11 | Cox Communications NETBLK-SD-RDC-72-194-208-0 
Aviwax,65.49.136.230,Internet Operating Services of Arizona LLC IOSAZ-1 | Internet Operating Services Internal Use IOSAZ-INT-65-49-136 
ayah,115.146.224.206,Digital Telecommunications Phils. Inc.
ayersrepairs,72.194.219.67,Cox Communications Inc. NETBLK-COX-ATLANTA-11 | Cox Communications NETBLK-SD-RDC-72-194-208-0 
b2bsaleschassc,69.73.67.234,"KNOLOGY,  Inc. KNOLOGY-NET | KNOLOGY,  Inc. CHAR41 "
BAD32,96.255.106.196,Verizon Internet Services Inc.
bbmedia,71.107.204.48,Verizon Internet Services Inc.
bdpurdy,63.241.202.8,CERFnet
beanstalk,24.68.248.183,Shaw Communications Inc.
BenCyclist,24.129.78.5,"Comcast Cable Communications Holdings, Inc CCCH3-21 | Comcast Cable Communications Holdings, Inc JACKSONVILLE-19 "
bharath_ashok,125.16.204.5,Satyam Computers
bigmark1972,98.209.136.89,"Comcast Cable Communications, Inc. JUMPSTART-5 | Comcast Cable Communications, Inc. MICHIGAN-36 "
bigmark1973,98.209.136.89,"Comcast Cable Communications, Inc. JUMPSTART-5 | Comcast Cable Communications, Inc. MICHIGAN-36 "
bikegames,113.162.85.118,VietNam Post and Telecom Corporation
blackpool-hotel,86.20.175.93,NTL Infrastructure - Birmingham
blitzpublicity,209.42.35.242,DSLi Corporation
bluenetworx,220.253.188.53,Netspace Online Systems Pty Ltd
bobbyk09,68.110.110.223,Cox Communications Inc. NETBLK-PH-RDC-68-110-64-0 | Cox Communications Inc. COX-ATLANTA-2 
bobbystiawan,110.139.122.110,PT TELKOM INDONESIA
bonsen,220.255.7.248,SingNet Pte Ltd
bpvse,152.216.7.5,Internal Revenue Service
bradcapo2,203.210.196.177,Vietnam Telecom National
breynolds,68.230.126.166,Cox Communications Inc. NETBLK-COX-ATLANTA-7 | Cox Communications NETBLK-PH-RDC-68-230-0-0 
bristolandbrook,60.241.185.199,TPG Internet Pty Ltd.
bsarratt,74.219.153.226,Road Runner HoldCo LLC
BTauthor,207.200.116.136,Netscape Communications Corp.
BUILDING,64.12.116.10,"America Online, Inc."
Bundy,60.241.185.199,TPG Internet Pty Ltd.
BusinessBrocker,220.224.237.98,Reliance Communications Ltd
CableMaven,69.84.113.27,"Atlantic Broadband Finance, LLC ATLANTICBB-MIAMI | Atlantic Broadband MIA-FL-69-84-96-0 "
callendula,204.11.25.80,"NBN Internet, LLC"
candycarter,199.193.13.202,"Media General, Inc."
caralluma1,220.253.188.53,Netspace Online Systems Pty Ltd
CardAssist,66.74.94.52,Road Runner HoldCo LLC
carloan,75.80.118.133,Road Runner HoldCo LLC
carspolaris,72.194.219.67,Cox Communications Inc. NETBLK-COX-ATLANTA-11 | Cox Communications NETBLK-SD-RDC-72-194-208-0 
catherine,58.62.47.129,CHINANET Guangdong province network
cdrseabee,205.188.117.80,"America Online, Inc"
CFN,70.171.110.76,Cox Communications Inc. NETBLK-COX-ATLANTA-10 | Cox Communications NETBLK-NO-RDC-70-171-64-0 
ChangingTable,68.229.127.25,Cox Communications Inc. NETBLK-COX-ATLANTA-7 | Cox Communications NETBLK-HR-RDC-68-229-96-0 
chaschiropracto,69.73.67.234,"KNOLOGY,  Inc. KNOLOGY-NET | KNOLOGY,  Inc. CHAR41 "
chasdentist,69.73.67.234,"KNOLOGY,  Inc. KNOLOGY-NET | KNOLOGY,  Inc. CHAR41 "
chashotelrooms,69.73.67.234,"KNOLOGY,  Inc. KNOLOGY-NET | KNOLOGY,  Inc. CHAR41 "
chasweddingvenu,68.213.125.174,BellSouth.net Inc.
chloe,220.255.7.248,SingNet Pte Ltd
choesh,208.83.48.16,Project Performance Corporation
Chris Hooley,70.171.227.161,Cox Communications Inc. NETBLK-COX-ATLANTA-10 | Cox Communications NETBLK-PH-RDC-70-171-192-0 
clarkjohnson,41.204.224.19,Dynamic IP pools for Direct on PC Ltd
ClarkL,59.95.175.100,NIB (National Internet Backbone)
clawe,62.2.78.194,5506 Maegenwil
Cleanmywindows,60.241.185.199,TPG Internet Pty Ltd.
cnhairtinsel,58.19.23.80,China Unicom HuBei Province Network
collegedating,70.170.110.98,Cox Communications Inc. NETBLK-COX-ATLANTA-10 | Cox Communications NETBLK-LV-RDC-70-170-0-0 
colly,69.241.82.132,"Comcast Cable Communications, Inc. JUMPSTART-4 | Comcast Cable Communications, Inc. COMAST-19 "
corney,220.224.237.98,Reliance Communications Ltd
corvalcorp,205.188.116.15,"America Online, Inc"
CosmicRabbit,205.188.117.72,"America Online, Inc"
darren_outsourc,76.22.142.23,"Comcast Cable Communications, Inc. WESTERN-1 | Comcast Cable Communications, Inc. NASHVILLE-23 "
davecc,66.93.66.228,"Speakeasy, Inc. SPEAKEASY-5 | Merchant Resources International SPEK-631029-0 "
DavidDish,69.84.113.27,"Atlantic Broadband Finance, LLC ATLANTICBB-MIAMI | Atlantic Broadband MIA-FL-69-84-96-0 "
daviddlinux,90.49.133.78,BSREN359 Rennes Bloc 2
Declan,83.147.178.151,Digiweb CMTS Network
demejoe,98.212.129.226,"Comcast Cable Communications, Inc. JUMPSTART-5 | Comcast Cable Communications, Inc. ILLINOIS-34 "
dennis13,64.12.117.19,"America Online, Inc."
dennisdye8,205.188.117.72,"America Online, Inc"
denverseo,67.164.179.30,"Comcast Cable Communications, Inc. COMCAST | Comcast Cable Communications, Inc. COLORADO-4 "
dependablecar,72.194.219.67,Cox Communications Inc. NETBLK-COX-ATLANTA-11 | Cox Communications NETBLK-SD-RDC-72-194-208-0 
DesignerJeans,94.169.172.80,BROADBAND CROYDON
deweng,12.149.24.226,AT&T WorldNet Services ATT | AT&T WorldNet Services ATTSVCM-12-149-24-0 | ADSHIP LLC ADSHIP-L82-24-224 
DMP360Fall09,208.69.93.77,"Awecomm Technologies, LLC"
dogboardchas,68.213.125.174,BellSouth.net Inc.
dominatenashvil,76.22.142.23,"Comcast Cable Communications, Inc. WESTERN-1 | Comcast Cable Communications, Inc. NASHVILLE-23 "
donlat3,208.187.181.136,"Integra Telecom, Inc. ELI-2-NETBLK99 | Off Campus Tele Communications ELI-D0BBB400-3404-607 "
DrBill,64.140.204.198,WorldPath Internet Services
Drgeller,68.110.110.223,Cox Communications Inc. NETBLK-PH-RDC-68-110-64-0 | Cox Communications Inc. COX-ATLANTA-2 
DrMath,207.200.116.14,Netscape Communications Corp.
Dtiinphx,207.200.116.135,Netscape Communications Corp.
ebookoo,118.96.144.149,PT Telekomunikasi Indonesia
ebv781,75.181.93.148,Road Runner HoldCo LLC
edfranklin,130.94.123.98,"NTT America, Inc."
eeoms,98.192.123.80,"Comcast Cable Communications, Inc. JUMPSTART-5 | Comcast Cable Communications, Inc. ATLANTA-CPE-18 "
elquesefue,209.26.59.93,"Embarq Corporation EMBARQ-GLOBAL | GulfAccess, Inc. GULFACCESS3 "
ema,222.127.15.250,Globe Telecom/Innove Communication
emailmarketing,202.82.127.147,SUPREME NET
emgeea,205.188.116.10,"America Online, Inc"
Eric1223,205.188.117.6,"America Online, Inc"
etnier1,205.188.117.6,"America Online, Inc"
EviesRealty,119.92.125.207,IPG
Fireflies,205.188.116.10,"America Online, Inc"
FLAWeb,24.73.154.188,Road Runner HoldCo LLC
footballjerseys,96.30.14.88,Cogswell Enterprises Inc.
gasoiline,70.170.110.98,Cox Communications Inc. NETBLK-COX-ATLANTA-10 | Cox Communications NETBLK-LV-RDC-70-170-0-0 
Genesis726,64.12.116.15,"America Online, Inc."
gerow,120.138.81.37,"Macro Lynx Sdn Bhd, ISP, Kuala Lumpur, Malaysia"
GinaHChicago,68.111.209.215,Cox Communications Inc. COX-ATLANTA-2 | Cox Communications NETBLK-SD-RDC-68-111-128-0 
globalyuen,202.82.127.147,SUPREME NET
gmoney,74.219.153.226,Road Runner HoldCo LLC
GMPLLC,69.255.16.223,"Comcast Cable Communications, Inc. JUMPSTART-4 | Comcast Cable Communications, Inc. DC-24 "
gold,71.20.169.138,Clearwire US LLC
gopz,67.172.82.176,"Comcast Cable Communications, Inc. COMCAST | Comcast Cable Communications, IP Services MICHIGAN-L-3 "
grannyann,64.12.116.15,"America Online, Inc."
HamperGuy,81.104.133.209,NTL Infrastructure - Renfrew
HannaFer,68.145.58.27,Shaw Communications Inc.
hardwood,216.215.144.201,"NuVox Communications, Inc."
hectorins,64.12.117.75,"America Online, Inc."
hellyjay,41.204.224.19,Dynamic IP pools for Direct on PC Ltd
hotels,86.20.175.93,NTL Infrastructure - Birmingham
hpgoodboy,173.169.111.211,Road Runner HoldCo LLC
hplaw,198.185.18.207,LEXIS-NEXIS
Hydroponics,70.170.110.98,Cox Communications Inc. NETBLK-COX-ATLANTA-10 | Cox Communications NETBLK-LV-RDC-70-170-0-0 
imarketer09,115.146.224.206,Digital Telecommunications Phils. Inc.
Insite,98.247.170.31,"Comcast Cable Communications, Inc. JUMPSTART-5 | Comcast Cable Communications, Inc. WASHINGTON-24 "
insurancefinder,70.166.6.10,Cox Communications Inc. NETBLK-COX-ATLANTA-10 | Cox Communications NETBLK-SD-CBS-70-166-0-0 
InvestorGuy,79.75.234.207,Tiscali UK Ltd
ivnash,220.255.7.112,SingNet Pte Ltd
IYF,72.88.212.218,Verizon Internet Services Inc. VIS-72-64 | FIND LOCKSMITH FTTP 
jackyjan,71.107.204.48,Verizon Internet Services Inc.
Jah-healer,204.68.245.11,State of Louisiana Office of Telecommunications Management
jalopy05,167.219.88.140,Deloitte & Touche
JamesAndy,59.95.175.100,NIB (National Internet Backbone)
jamesj,121.246.81.202,Internet Service Provider
jamestkirk,203.97.203.253,TelstraClear Ltd
janglebeezz,75.151.40.110,"Comcast Business Communications, Inc. CBC-CM-5 | Comcast Business Communications, Inc. CBC-NAPLES-13 "
jarnett,207.200.116.137,Netscape Communications Corp.
JasmynMaia,121.97.202.205,BayanTel Broadband DSL - NetValue
jayben,208.187.181.136,"Integra Telecom, Inc. ELI-2-NETBLK99 | Off Campus Tele Communications ELI-D0BBB400-3404-607 "
jb4522jb,24.162.227.50,Road Runner HoldCo LLC
jenhav,98.109.117.130,Verizon Internet Services Inc.
JenniferD,96.255.106.196,Verizon Internet Services Inc.
JenniferMartin1,69.127.12.5,Optimum Online NETBLK-OOL-6BLK | Optimum Online (Cablevision Systems) OOL-CPE-MHWHNJ-69-127-0-0-19 
Jerry,64.12.116.69,"America Online, Inc."
jessicatexas,24.129.78.5,"Comcast Cable Communications Holdings, Inc CCCH3-21 | Comcast Cable Communications Holdings, Inc JACKSONVILLE-19 "
jim7907,79.129.29.236,Multiprotocol Service Provider to other ISP's and End Users
jimcallahan,199.193.13.202,"Media General, Inc."
jjsutton79,68.51.137.2,"Comcast Cable Communications, Inc. JUMPSTART-1 | Comcast Cable Communications, Inc. SAVANNAH-1 "
jobshere,122.172.119.19,"ABTS (Karnataka),"
jodypenn,174.133.9.144,"ThePlanet.com Internet Services, Inc."
