fantasme,96.21.222.188,Organization
florentelectro,96.21.222.188,Le Groupe Videotron Ltee
Perdre_Du_Poids,96.21.222.188,Le Groupe Videotron Ltee
nfljerseys,96.30.14.88,Cogswell Enterprises Inc.
bfoxequity,98.149.174.189,Road Runner HoldCo LLC
simonlandmann,98.149.174.189,Road Runner HoldCo LLC
SafetySkills,98.175.175.180,"Cox Communications Inc. CXA (NET-98-160-0-0-1) 
                                  98.160.0.0 - 98.191.255.255
Cox Communications NETBLK-OK-CBS-98-175-168-0 (NET-98-175-168-0-1) 
                                  98.175.168.0 - 98.175.175.255

# ARIN WHOIS database, last updated 2009-11-30 20:00
# Enter ? for additional hints on searching ARIN's WHOIS database.
"
discountdealer,98.192.123.80,"Comcast Cable Communications, Inc. JUMPSTART-5 (NET-98-192-0-0-1) 
                                  98.192.0.0 - 98.255.255.255
Comcast Cable Communications, Inc. ATLANTA-CPE-18 (NET-98-192-0-0-2) 
                                  98.192.0.0 - 98.192.127.255

# ARIN WHOIS database, last updated 2009-11-30 20:00
# Enter ? for additional hints on searching ARIN's WHOIS database.
"
Dinerman,98.194.78.104,"Comcast Cable Communications, Inc. JUMPSTART-5 (NET-98-192-0-0-1) 
                                  98.192.0.0 - 98.255.255.255
Comcast Cable Communications, Inc. HOUSTON-3 (NET-98-194-0-0-1) 
                                  98.194.0.0 - 98.195.255.255

# ARIN WHOIS database, last updated 2009-11-30 20:00
# Enter ? for additional hints on searching ARIN's WHOIS database.
"
Lavonne,98.194.78.104,"Comcast Cable Communications, Inc. JUMPSTART-5 (NET-98-192-0-0-1) 
                                  98.192.0.0 - 98.255.255.255
Comcast Cable Communications, Inc. HOUSTON-3 (NET-98-194-0-0-1) 
                                  98.194.0.0 - 98.195.255.255

# ARIN WHOIS database, last updated 2009-11-30 20:00
# Enter ? for additional hints on searching ARIN's WHOIS database.
"
bigmark,98.209.136.89,"Comcast Cable Communications, Inc. JUMPSTART-5 (NET-98-192-0-0-1) 
                                  98.192.0.0 - 98.255.255.255
Comcast Cable Communications, Inc. MICHIGAN-36 (NET-98-209-0-0-1) 
                                  98.209.0.0 - 98.209.255.255

# ARIN WHOIS database, last updated 2009-11-30 20:00
# Enter ? for additional hints on searching ARIN's WHOIS database.
"
dtyson,98.212.129.226,"Comcast Cable Communications, Inc. JUMPSTART-5 (NET-98-192-0-0-1) 
                                  98.192.0.0 - 98.255.255.255
Comcast Cable Communications, Inc. ILLINOIS-34 (NET-98-212-0-0-1) 
                                  98.212.0.0 - 98.215.255.255

# ARIN WHOIS database, last updated 2009-11-30 20:00
# Enter ? for additional hints on searching ARIN's WHOIS database.
"
Chazwalker,98.220.144.170,"Comcast Cable Communications, Inc."
Chazwalker1,98.220.144.170,"Comcast Cable Communications, Inc."
EngagementRing,98.240.231.104,"Comcast Cable Communications, Inc. JUMPSTART-5 (NET-98-192-0-0-1) 
                                  98.192.0.0 - 98.255.255.255
Comcast Cable Communications, Inc. MINNESOTA-15 (NET-98-240-128-0-1) 
                                  98.240.128.0 - 98.240.255.255

# ARIN WHOIS database, last updated 2009-11-30 20:00
# Enter ? for additional hints on searching ARIN's WHOIS database.
"
file_recovery,98.240.231.104,"Comcast Cable Communications, Inc. JUMPSTART-5 (NET-98-192-0-0-1) 
                                  98.192.0.0 - 98.255.255.255
Comcast Cable Communications, Inc. MINNESOTA-15 (NET-98-240-128-0-1) 
                                  98.240.128.0 - 98.240.255.255

# ARIN WHOIS database, last updated 2009-11-30 20:00
# Enter ? for additional hints on searching ARIN's WHOIS database.
"
Motels_Hotels,98.240.231.104,"Comcast Cable Communications, Inc. JUMPSTART-5 (NET-98-192-0-0-1) 
                                  98.192.0.0 - 98.255.255.255
Comcast Cable Communications, Inc. MINNESOTA-15 (NET-98-240-128-0-1) 
                                  98.240.128.0 - 98.240.255.255

# ARIN WHOIS database, last updated 2009-11-30 20:00
# Enter ? for additional hints on searching ARIN's WHOIS database.
"
mattwi,98.247.170.31,"Comcast Cable Communications, Inc. JUMPSTART-5 (NET-98-192-0-0-1) 
                                  98.192.0.0 - 98.255.255.255
Comcast Cable Communications, Inc. WASHINGTON-24 (NET-98-247-0-0-1) 
                                  98.247.0.0 - 98.247.255.255

# ARIN WHOIS database, last updated 2009-11-30 20:00
# Enter ? for additional hints on searching ARIN's WHOIS database.
"
sammyjk1,98.30.227.137,Road Runner HoldCo LLC
sammyjkck1,98.30.227.137,Road Runner HoldCo LLC
